Feeling Word (EN),Feeling Word (ES),Feeling Word (PT),Feeling Word (IT),It might relate to (EN),It might relate to (ES),It might relate to (PT),It might relate to (IT),Adaptive Explanation (EN),Adaptive Explanation (ES),Adaptive Explanation (PT),Adaptive Explanation (IT)
Unrestrained,Desenfrenado,Desenfreado,Senza freni,Independence,Independencia,Independência,Indipendenza,Encourages expression and exploration by removing limiting constraints.,Fomenta la expresión y la exploración al eliminar las restricciones limitantes.,Incentiva a expressão e a exploração removendo restrições limitantes.,Incoraggia l'espressione e l'esplorazione rimuovendo i vincoli limitanti.
Bored,Aburrido,Entediado,Annoiato,Learning,Aprendizaje,Aprendizado,Apprendimento,"Signals a lack of meaningful stimulation, prompting exploration or redirection.","Indica una falta de estimulación significativa, lo que provoca la exploración o la reorientación.","Sinaliza uma falta de estímulo significativo, incitando a exploração ou o redirecionamento.","Segnala una mancanza di stimolazione significativa, spingendo all'esplorazione o al reindirizzamento."
Bereavement,"Duelo, Pérdida",Luto,Lutto,Loss of Love,Pérdida de Amor,Perda de Amor,Perdita d'Amore,Encourages resilience and action by expecting positive outcomes.,Fomenta la resiliencia y la acción al esperar resultados positivos.,Incentiva a resiliência e a ação esperando resultados positivos.,Incoraggia la resilienza e l'azione aspettandosi esiti positivi.
Dejection,Desánimo,Desânimo,Sconforto,Loss of Love,Pérdida de Amor,Perda de Amor,Perdita d'Amore,Maintains alertness in uncertain or potentially harmful situations.,Mantiene el estado de alerta en situaciones inciertas o potencialmente dañinas.,Mantém o estado de alerta em situações incertas ou potencialmente prejudiciais.,Mantiene lo stato di allerta in situazioni incerte o potenzialmente dannose.
Desolation,Desolación,Desolação,Desolazione,Loss of Love,Pérdida de Amor,Perda de Amor,Perdita d'Amore,Signals immediate danger and prompts self-protective behavior.,Indica peligro inmediato y provoca un comportamiento de autoprotección.,Sinaliza perigo imediato e incita a comportamento de autoproteção.,Segnala un pericolo immediato e spinge a un comportamento di autodifesa.
Despair,Desesperación,Desespero,Disperazione,Loss of Love,Pérdida de Amor,Perda de Amor,Perdita d'Amore,Helps you move through fear in service of something meaningful.,Te ayuda a superar el miedo al servicio de algo significativo.,Ajuda você a superar o medo em serviço de algo significativo.,Ti aiuta a superare la paura al servizio di qualcosa di significativo.
Grief,"Dolor, Pena","Dor, Pesar","Dolore, Cordoglio",Loss of Love,Pérdida de Amor,Perda de Amor,Perdita d'Amore,Marks a freeze response when multiple conflicting demands make action feel unsafe.,Marca una respuesta de congelación cuando múltiples demandas en conflicto hacen que la acción se sienta insegura.,Marca uma resposta de congelamento quando múltiplas demandas conflitantes fazem a ação parecer insegura.,Segna una risposta di paralisi quando richieste multiple e contrastanti rendono l'azione insicura.
Heartache,"Angustia, Dolor de corazón","Angústia, Dor no coração",Angoscia,Loss of Love,Pérdida de Amor,Perda de Amor,Perdita d'Amore,Allows you to express your needs or boundaries clearly and effectively.,Te permite expresar tus necesidades o límites de manera clara y efectiva.,Permite que você expresse suas necessidades ou limites de forma clara e eficaz.,Ti consente di esprimere i tuoi bisogni o confini in modo chiaro ed efficace.
Loneliness,Soledad,Solidão,Solitudine,Loss of Love,Pérdida de Amor,Perda de Amor,Perdita d'Amore,Encourages you to step outside comfort zones to pursue growth or values.,Te anima a salir de tu zona de confort para buscar el crecimiento o los valores.,Incentiva você a sair da zona de conforto para buscar crescimento ou valores.,Ti incoraggia a uscire dalle zone di comfort per perseguire la crescita o i valori.
Longing,"Anhelo, Añoranza","Saudade, Anseio","Desiderio, Nostalgia",Loss of Love,Pérdida de Amor,Perda de Amor,Perdita d'Amore,Keeps you oriented toward possibility even in the face of challenge.,Te mantiene orientado hacia la posibilidad incluso ante el desafío.,Mantém você orientado para a possibilidade mesmo diante do desafio.,Ti mantiene orientato verso la possibilità anche di fronte alle sfide.
Melancholy,Melancolía,Melancolia,Malinconia,Loss of Love,Pérdida de Amor,Perda de Amor,Perdita d'Amore,"Reveals a gap between perceived and desired self-worth, prompting reflection or support.","Revela una brecha entre la autoestima percibida y la deseada, lo que provoca la reflexión o el apoyo.","Revela uma lacuna entre a autoestima percebida e a desejada, incitando a reflexão ou o apoio.","Rivela un divario tra l'autostima percepita e quella desiderata, spingendo alla riflessione o al supporto."
Mourning,Luto,Luto,Lutto,Loss of Love,Pérdida de Amor,Perda de Amor,Perdita d'Amore,Protects your sense of self when you feel criticized or misunderstood.,Protege tu sentido de ti mismo cuando te sientes criticado o incomprendido.,Protege seu senso de si mesmo quando você se sente criticado ou incompreendido.,Protegge il tuo senso di te stesso quando ti senti criticato o incompreso.
Sad,Triste,Triste,Triste,Loss of Love,Pérdida de Amor,Perda de Amor,Perdita d'Amore,"Signals something meaningful is gone, prompting grief and adjustment.","Indica que algo significativo se ha ido, lo que provoca duelo y ajuste.","Sinaliza que algo significativo se foi, incitando luto e ajuste.","Segnala che qualcosa di significativo è andato perduto, spingendo al lutto e all'adattamento."
Sadness,Tristeza,Tristeza,Tristezza,Loss of Love,Pérdida de Amor,Perda de Amor,Perdita d'Amore,Draws attention to unresolved concerns that need emotional or practical attention.,Llama la atención sobre preocupaciones no resueltas que necesitan atención emocional o práctica.,Chama a atenção para preocupações não resolvidas que precisam de atenção emocional ou prática.,Richiama l'attenzione su preoccupazioni irrisolte che necessitano di attenzione emotiva o pratica.
Sorrow,"Pena, Dolor","Pesar, Tristeza","Dolore, Dispiacere",Loss of Love,Pérdida de Amor,Perda de Amor,Perdita d'Amore,Helps you avoid danger or mistakes by slowing down and analyzing risk.,Te ayuda a evitar el peligro o los errores al reducir la velocidad y analizar el riesgo.,Ajuda você a evitar perigos ou erros ao desacelerar e analisar o risco.,Ti aiuta a evitare pericoli o errori rallentando e analizzando il rischio.
Ambitious,Ambicioso,Ambicioso,Ambizioso,Motivation / Energy,Motivación / Energía,Motivação / Energia,Motivazione / Energia,"Encourages appreciation and nurtures strong, prosocial relationships.",Fomenta el aprecio y nutre relaciones fuertes y prosociales.,Incentiva a apreciação e nutre relacionamentos fortes e pró-sociais.,Incoraggia l'apprezzamento e nutre relazioni forti e prosociali.
Committed,Comprometido,Comprometido,Impegnato,Motivation / Energy,Motivación / Energía,Motivação / Energia,Motivazione / Energia,"Indicates internal coherence and external safety, supporting rest and reflection.","Indica coherencia interna y seguridad externa, apoyando el descanso y la reflexión.","Indica coerência interna e segurança externa, apoiando descanso e reflexão.","Indica coerenza interna e sicurezza esterna, supportando il riposo e la riflessione."
Determined,Determinado,Determinado,Determinato,Motivation / Energy,Motivación / Energía,Motivação / Energia,Motivazione / Energia,Reinforces behaviors and environments that support personal wellbeing and satisfaction.,Refuerza los comportamientos y entornos que apoyan el bienestar y la satisfacción personales.,Reforça comportamentos e ambientes que apoiam o bem-estar e a satisfação pessoal.,Rafforza comportamenti e ambienti che supportano il benessere e la soddisfazione personali.
Driven,Motivado,Impulsionado,Motivato,Motivation / Energy,Motivación / Energía,Motivação / Energia,Motivazione / Energia,"Affirms deep alignment between internal values and current experience, reinforcing vitality.","Afirma una profunda alineación entre los valores internos y la experiencia actual, reforzando la vitalidad.","Afirma um alinhamento profundo entre valores internos e a experiência atual, reforçando a vitalidade.","Afferma un profondo allineamento tra valori interni ed esperienza attuale, rafforzando la vitalità."
Energized,Lleno de energía,Energizado,Pieno di energie,Motivation / Energy,Motivación / Energía,Motivação / Energia,Motivazione / Energia,"Focuses attention on stimuli that may hold meaning, benefit, or learning potential.","Enfoca la atención en estímulos que pueden tener significado, beneficio o potencial de aprendizaje.","Foca a atenção em estímulos que podem conter significado, benefício ou potencial de aprendizado.","Concentra l'attenzione su stimoli che possono avere significato, beneficio o potenziale di apprendimento."
Enthusiastic,Entusiasta,Entusiasmado,Entusiasta,Motivation / Energy,Motivación / Energía,Motivação / Energia,Motivazione / Energia,Mobilizes energy for engagement with something anticipated or meaningful.,Moviliza energía para el compromiso con algo anticipado o significativo.,Mobiliza energia para o engajamento com algo antecipado ou significativo.,Mobilita l'energia per l'impegno con qualcosa di atteso o significativo.
Focused,Concentrado,Focado,Focalizzato,Motivation / Energy,Motivación / Energía,Motivação / Energia,Motivazione / Energia,"Signals that your current state meets core needs, allowing rest and presence.","Indica que tu estado actual satisface las necesidades fundamentales, lo que permite el descanso y la presencia.","Sinaliza que seu estado atual atende às necessidades centrais, permitindo descanso e presença.","Segnala che il tuo stato attuale soddisfa i bisogni fondamentali, consentendo riposo e presenza."
Inspired,Inspirado,Inspirado,Ispirato,Motivation / Energy,Motivación / Energía,Motivação / Energia,Motivazione / Energia,"Signals positive resonance with an experience, enhancing openness and sharing.","Indica una resonancia positiva con una experiencia, lo que mejora la apertura y el intercambio.","Sinaliza ressonância positiva com uma experiência, aprimorando a abertura e o compartilhamento.","Segnala una risonanza positiva con un'esperienza, migliorando l'apertura e la condivisione."
Invigorated,Revigorizado,Revigorado,Rinvigorito,Motivation / Energy,Motivación / Energía,Motivação / Energia,Motivazione / Energia,Marks the release of tension after a threat or stressor has passed.,Marca la liberación de tensión después de que ha pasado una amenaza o un factor estresante.,Marca a liberação de tensão após uma ameaça ou estressor ter passado.,Segna il rilascio della tensione dopo che una minaccia o un fattore di stress sono passati.
Motivated,Motivado,Motivado,Motivato,Motivation / Energy,Motivación / Energía,Motivação / Energia,Motivazione / Energia,"Drives exploration of new ideas or environments, fostering adaptability and growth.","Impulsa la exploración de nuevas ideas o entornos, fomentando la adaptabilidad y el crecimiento.","Impulsiona a exploração de novas ideias ou ambientes, fomentando a adaptabilidade e o crescimento.","Guida l'esplorazione di nuove idee o ambienti, favorendo l'adattabilità e la crescita."
Passionate,Apasionado,Apaixonado,Appassionato,Motivation / Energy,Motivación / Energía,Motivação / Energia,Motivazione / Energia,Encourages initiative and forward momentum toward desired outcomes.,Fomenta la iniciativa y el impulso hacia adelante hacia los resultados deseados.,Incentiva a iniciativa e o impulso para a frente em direção a resultados desejados.,Incoraggia l'iniziativa e lo slancio in avanti verso i risultati desiderati.
Zealous,"Celoso, Entusiasta","Zeloso, Entusiasmado","Zelante, Entusiasta",Motivation / Energy,Motivación / Energía,Motivação / Energia,Motivazione / Energia,Reflects emotional clarity and calm acceptance of the present moment.,Refleja la claridad emocional y la calma aceptación del momento presente.,Reflete a clareza emocional e a calma aceitação do momento presente.,Riflette la chiarezza emotiva e la calma accettazione del momento presente.
Elated,Eufórico,Eufórico,Euforico,Needs Met,Necesidades Satisfechas,Necessidades Satisfeitas,Bisogni Soddisfatti,"Energizes and uplifts, reinforcing meaningful success or connection.","Energiza y eleva, reforzando el éxito o la conexión significativos.","Energiza e eleva, reforçando o sucesso ou a conexão significativos.","Energizza e solleva, rafforzando il successo significativo o la connessione."
Aware,Consciente,Consciente,Consapevole,Novelty/Learning,Novedad / Aprendizaje,Novidade / Aprendizado,Novità / Apprendimento,"Heightens sensitivity to internal or external conditions, supporting responsiveness.","Aumenta la sensibilidad a las condiciones internas o externas, lo que apoya la capacidad de respuesta.","Aumenta a sensibilidade a condições internas ou externas, apoiando a capacidade de resposta.","Aumenta la sensibilità alle condizioni interne o esterne, supportando la reattività."
Curious,Curioso,Curioso,Curioso,Novelty/Learning,Novedad / Aprendizaje,Novidade / Aprendizado,Novità / Apprendimento,"Sparks exploration and discovery, essential for growth and adaptation.","Despierta la exploración y el descubrimiento, esenciales para el crecimiento y la adaptación.","Acende a exploração e a descoberta, essenciais para o crescimento e a adaptação.","Accende l'esplorazione e la scoperta, essenziali per la crescita e l'adattamento."
Educated,Educado,Educado,Educato,Novelty/Learning,Novedad / Aprendizaje,Novidade / Aprendizado,Novità / Apprendimento,Equips you with tools to navigate complexity and contribute meaningfully.,Te equipa con herramientas para navegar por la complejidad y contribuir de manera significativa.,Equipa você com ferramentas para navegar na complexidade e contribuir de forma significativa.,Ti fornisce strumenti per navigare nella complessità e contribuire in modo significativo.
Engaged,Comprometido,Engajado,Impegnato,Novelty/Learning,Novedad / Aprendizaje,Novidade / Aprendizado,Novità / Apprendimento,"Immerses you in learning or activity, boosting motivation and connection.","Te sumerge en el aprendizaje o la actividad, lo que aumenta la motivación y la conexión.","Mergulha você em aprendizado ou atividade, impulsionando a motivação e a conexão.","Ti immerge nell'apprendimento o nell'attività, aumentando la motivazione e la connessione."
Enlightened,Iluminado,Iluminado,Illuminato,Novelty/Learning,Novedad / Aprendizaje,Novidade / Aprendizado,Novità / Apprendimento,"Reflects new insight, helping you see differently and grow your perspective.","Refleja una nueva perspicacia, lo que te ayuda a ver de manera diferente y a expandir tu perspectiva.","Reflete nova percepção, ajudando você a ver de forma diferente e a expandir sua perspectiva.","Riflette una nuova intuizione, aiutandoti a vedere in modo diverso e a far crescere la tua prospettiva."
Informed,Informado,Informado,Informato,Novelty/Learning,Novedad / Aprendizaje,Novidade / Aprendizado,Novità / Apprendimento,Supports empowered decisions by grounding action in relevant knowledge.,Apoya las decisiones empoderadas al basar la acción en conocimientos relevantes.,Apoia decisões empoderadas ao basear a ação em conhecimento relevante.,Supporta decisioni potenziate basando l'azione su conoscenze rilevanti.
Inquisitive,Inquisitivo,Inquisitivo,Curioso,Novelty/Learning,Novedad / Aprendizaje,Novidade / Aprendizado,Novità / Apprendimento,Drives deeper inquiry to understand complexity and expand knowledge.,Impulsa una investigación más profunda para comprender la complejidad y expandir el conocimiento.,Impulsiona uma investigação mais profunda para compreender a complexidade e expandir o conhecimento.,Guida un'indagine più approfondita per comprendere la complessità e espandere la conoscenza.
Insightful,Perspicaz,Perspicaz,Perspicace,Novelty/Learning,Novedad / Aprendizaje,Novidade / Aprendizado,Novità / Apprendimento,"Illuminates deeper meaning, supporting growth and wise action.","Ilumina un significado más profundo, apoyando el crecimiento y la acción sabia.","Ilumina um significado mais profundo, apoiando o crescimento e a ação sábia.","Illumina un significato più profondo, supportando la crescita e l'azione saggia."
Interested,Interesado,Interessado,Interessato,Novelty/Learning,Novedad / Aprendizaje,Novidade / Aprendizado,Novità / Apprendimento,"Focuses attention, making learning and meaningful engagement possible.","Enfoca la atención, lo que hace posible el aprendizaje y el compromiso significativo.","Foca a atenção, tornando possível o aprendizado e o engajamento significativo.","Concentra l'attenzione, rendendo possibile l'apprendimento e il coinvolgimento significativo."
Intrigued,Intrigado,Intrigado,Intrigato,Novelty/Learning,Novedad / Aprendizaje,Novidade / Aprendizado,Novità / Apprendimento,Captures your interest and motivates further exploration or insight.,Captura tu interés y motiva una mayor exploración o perspicacia.,Captura seu interesse e motiva a exploração ou a percepção.,Cattura il tuo interesse e motiva ulteriori esplorazioni o intuizioni.
Knowledgeable,Bien informado,Conhecedor,Competente,Novelty/Learning,Novedad / Aprendizaje,Novidade / Aprendizado,Novità / Apprendimento,Provides a foundation for confidence and informed decision-making.,Proporciona una base para la confianza y la toma de decisiones informadas.,Fornece uma base para a confiança e a tomada de decisão informada.,Fornisce una base per la fiducia e un processo decisionale informato.
Perceptive,Perceptivo,Perceptivo,Percettivo,Novelty/Learning,Novedad / Aprendizaje,Novidade / Aprendizado,Novità / Apprendimento,"Enhances understanding of nuance, allowing for more accurate interpretation.","Mejora la comprensión del matiz, lo que permite una interpretación más precisa.","Aprimora a compreensão da nuance, permitindo uma interpretação mais precisa.","Migliora la comprensione della sfumatura, consentendo un'interpretazione più accurata."
Calm,Calmo,Calmo,Calmo,Patience / Tolerance,Paciencia / Tolerancia,Paciência / Tolerância,Pazienza / Tolleranza,Enables clear thinking and emotional regulation under stress.,Permite el pensamiento claro y la regulación emocional bajo estrés.,Permite o pensamento claro e a regulação emocional sob estresse.,Abilita il pensiero chiaro e la regolazione emotiva sotto stress.
Composed,Sereno,Composto,Composto,Patience / Tolerance,Paciencia / Tolerancia,Paciência / Tolerância,Pazienza / Tolleranza,Supports thoughtful response by remaining steady in emotionally charged situations.,Apoya una respuesta reflexiva al mantenerse firme en situaciones emocionalmente cargadas.,Apoia a resposta ponderada permanecendo firme em situações emocionalmente carregadas.,Supporta una risposta ponderata rimanendo stabile in situazioni emotivamente cariche.
Enduring,"Duradero, Resistente","Duradouro, Resistente","Durevole, Resistente",Patience / Tolerance,Paciencia / Tolerancia,Paciência / Tolerância,Pazienza / Tolleranza,"Maintains presence and purpose over time, even when progress is slow.","Mantiene la presencia y el propósito a lo largo del tiempo, incluso cuando el progreso es lento.","Mantém a presença e o propósito ao longo do tempo, mesmo quando o progresso é lento.","Mantiene la presenza e lo scopo nel tempo, anche quando il progresso è lento."
Forbearing,Tolerante,Tolerante,Tollerante,Patience / Tolerance,Paciencia / Tolerancia,Paciência / Tolerância,Pazienza / Tolleranza,Helps preserve relationships by enduring difficulty without retaliation.,Ayuda a preservar las relaciones al soportar las dificultades sin tomar represalias.,Ajuda a preservar relacionamentos suportando dificuldades sem retaliação.,Aiuta a preservare le relazioni sopportando le difficoltà senza ritorsioni.
Lenient,Indulgente,Indulgente,Indulgente,Patience / Tolerance,Paciencia / Tolerancia,Paciência / Tolerância,Pazienza / Tolleranza,"Promotes compassion and second chances, especially in moments of imperfection.","Promueve la compasión y las segundas oportunidades, especialmente en momentos de imperfección.","Promove a compaixão e segundas chances, especialmente em momentos de imperfeição.","Promuove la compassione e le seconde possibilità, specialmente nei momenti di imperfezione."
Patient,Paciente,Paciente,Paziente,Patience / Tolerance,Paciencia / Tolerancia,Paciência / Tolerância,Pazienza / Tolleranza,Allows space for others and for growth by managing urgency.,Permite espacio para los demás y para el crecimiento al manejar la urgencia.,Permite espaço para os outros e para o crescimento gerenciando a urgência.,Lascia spazio agli altri e alla crescita gestendo l'urgenza.
Steadfast,"Firme, Inquebrantable","Firme, Constante","Fermo, Incrollabile",Patience / Tolerance,Paciencia / Tolerancia,Paciência / Tolerância,Pazienza / Tolleranza,Reinforces inner stability and long-term commitment despite challenge.,Refuerza la estabilidad interior y el compromiso a largo plazo a pesar del desafío.,Reforça a estabilidade interna e o compromisso a longo prazo apesar do desafio.,Rafforza la stabilità interiore e l'impegno a lungo termine nonostante le sfide.
Tolerant,Tolerante,Tolerante,Tollerante,Patience / Tolerance,Paciencia / Tolerancia,Paciência / Tolerância,Pazienza / Tolleranza,Supports peaceful coexistence by accepting differences and discomfort.,Apoya la coexistencia pacífica al aceptar las diferencias y el malestar.,Apoia a coexistência pacífica aceitando diferenças e desconforto.,Supporta la coesistenza pacifica accettando differenze e disagio.
Understanding,Comprensivo,Compreensivo,Comprensivo,Patience / Tolerance,Paciencia / Tolerancia,Paciência / Tolerância,Pazienza / Tolleranza,Builds connection and reduces conflict by allowing others’ experiences.,Construye conexión y reduce el conflicto al permitir las experiencias de los demás.,Constrói conexão e reduz o conflito permitindo as experiências dos outros.,Costruisce connessione e riduce il conflitto consentendo le esperienze degli altri.
Unperturbed,Imperturbable,Imperturbável,Imperturbabile,Patience / Tolerance,Paciencia / Tolerancia,Paciência / Tolerância,Pazienza / Tolleranza,"Protects inner peace from disruption, helping sustain balance and focus.","Protege la paz interior de la interrupción, ayudando a mantener el equilibrio y el enfoque.","Protege a paz interior da interrupção, ajudando a sustentar o equilíbrio e o foco.","Protegge la pace interiore dalla perturbazione, aiutando a sostenere l'equilibrio e la concentrazione."
Calm,Calmo,Calmo,Calmo,Peace (or Lack),Paz (o Falta),Paz (ou Falta),Pace (o Mancanza),Supports clear thinking and emotional regulation in challenging moments.,Apoya el pensamiento claro y la regulación emocional en momentos difíciles.,Apoia o pensamento claro e a regulação emocional em momentos desafiadores.,Supporta il pensiero chiaro e la regolazione emotiva in momenti difficili.
Content,Contento,Contente,Contento,Peace (or Lack),Paz (o Falta),Paz (ou Falta),Pace (o Mancanza),"Reflects satisfaction with the present, promoting gratitude and wellbeing.","Refleja la satisfacción con el presente, promoviendo la gratitud y el bienestar.","Reflete a satisfação com o presente, promovendo a gratidão e o bem-estar.","Riflette la soddisfazione per il presente, promuovendo la gratitudine e il benessere."
Harmonious,Armonioso,Harmonioso,Armonioso,Peace (or Lack),Paz (o Falta),Paz (ou Falta),Pace (o Mancanza),"Encourages collaboration and balance, supporting mutual understanding.","Fomenta la colaboración y el equilibrio, apoyando la comprensión mutua.","Incentiva a colaboração e o equilíbrio, apoiando a compreensão mútua.","Incoraggia la collaborazione e l'equilibrio, supportando la comprensione reciproca."
Peaceful,Pacífico,Pacífico,Pacifico,Peace (or Lack),Paz (o Falta),Paz (ou Falta),Pace (o Mancanza),"Reinforces emotional safety and connection, enabling deeper engagement.","Refuerza la seguridad emocional y la conexión, lo que permite un compromiso más profundo.","Reforça a segurança emocional e a conexão, possibilitando um engajamento mais profundo.","Rafforza la sicurezza emotiva e la connessione, consentendo un coinvolgimento più profondo."
Placid,Plácido,Plácido,Placido,Peace (or Lack),Paz (o Falta),Paz (ou Falta),Pace (o Mancanza),Supports emotional balance by maintaining composure even in changing circumstances.,Apoya el equilibrio emocional al mantener la compostura incluso en circunstancias cambiantes.,Apoia o equilíbrio emocional mantendo a compostura mesmo em circunstâncias mutáveis.,Supporta l'equilibrio emotivo mantenendo la calma anche in circostanze mutevoli.
Quiet,Tranquilo,Quieto,Tranquillo,Peace (or Lack),Paz (o Falta),Paz (ou Falta),Pace (o Mancanza),"Encourages listening and reflection, which can deepen awareness and insight.","Fomenta la escucha y la reflexión, lo que puede profundizar la conciencia y la perspicacia.","Incentiva a escuta e a reflexão, que podem aprofundar a consciência e a percepção.","Incoraggia l'ascolto e la riflessione, che possono approfondire la consapevolezza e l'intuizione."
Relaxed,Relajado,Relaxado,Rilassato,Peace (or Lack),Paz (o Falta),Paz (ou Falta),Pace (o Mancanza),"Allows recovery and ease, helping to restore energy and presence.","Permite la recuperación y la facilidad, ayudando a restaurar la energía y la presencia.","Permite a recuperação e a facilidade, ajudando a restaurar a energia e a presença.","Consente il recupero e la serenità, aiutando a ripristinare l'energia e la presenza."
Restful,"Tranquilo, Descansado",Descansado,Riposante,Peace (or Lack),Paz (o Falta),Paz (ou Falta),Pace (o Mancanza),"Allows physical and emotional recovery, supporting sustained engagement.","Permite la recuperación física y emocional, apoyando un compromiso sostenido.","Permite a recuperação física e emocional, apoiando o engajamento sustentado.","Consente il recupero fisico ed emotivo, supportando un impegno sostenuto."
Serene,Sereno,Sereno,Sereno,Peace (or Lack),Paz (o Falta),Paz (ou Falta),Pace (o Mancanza),Creates mental spaciousness that can support creativity and patience.,Crea una amplitud mental que puede apoyar la creatividad y la paciencia.,Cria amplitude mental que pode apoiar a criatividade e a paciência.,Crea uno spazio mentale che può supportare la creatività e la pazienza.
Still,"Quieto, Tranquilo","Quieto, Tranquilo","Calmo, Fermo",Peace (or Lack),Paz (o Falta),Paz (ou Falta),Pace (o Mancanza),"Creates inner spaciousness, enabling calm presence and focused attention.","Crea una amplitud interior, lo que permite una presencia tranquila y una atención enfocada.","Cria amplitude interna, possibilitando presença calma e atenção focada.","Crea uno spazio interiore, consentendo una presenza calma e un'attenzione focalizzata."
Tranquil,Tranquilo,Tranquilo,Tranquillo,Peace (or Lack),Paz (o Falta),Paz (ou Falta),Pace (o Mancanza),"Fosters internal stillness, which can support reflection and well-being.","Fomenta la quietud interna, que puede apoyar la reflexión y el bienestar.","Fomenta a quietude interna, que pode apoiar a reflexão e o bem-estar.","Favorisce l'immobilità interiore, che può supportare la riflessione e il benessere."
Untroubled,Sin preocupaciones,Sem preocupações,Senza problemi,Peace (or Lack),Paz (o Falta),Paz (ou Falta),Pace (o Mancanza),"Indicates internal safety and stability, freeing energy for connection or creativity.","Indica seguridad y estabilidad internas, liberando energía para la conexión o la creatividad.","Indica segurança e estabilidade internas, liberando energia para conexão ou criatividade.","Indica sicurezza e stabilità interne, liberando energia per la connessione o la creatività."
Amused,"Entretenido, Divertido",Divertido,Divertito,Play,Juego,Jogo,Gioco,Lightens emotional load and enhances social bonding through shared joy.,Aligera la carga emocional y mejora los lazos sociales a través de la alegría compartida.,Alivia a carga emocional e aprimora os laços sociais através de alegria compartilhada.,Allegerisce il carico emotivo e migliora il legame sociale attraverso la gioia condivisa.
Cheerful,Alegre,Alegre,Allegro,Play,Juego,Jogo,Gioco,"Spreads optimism and lightness, which can uplift others and energize activity.","Difunde el optimismo y la ligereza, lo que puede elevar a los demás y energizar la actividad.","Espalha otimismo e leveza, que podem elevar os outros e energizar a atividade.","Diffonde ottimismo e leggerezza, che possono sollevare gli altri e energizzare l'attività."
Entertained,Entretenido,Entretenido,Intrattenuto,Play,Juego,Jogo,Gioco,"Offers mental refreshment and joy, supporting emotional balance.","Ofrece un refresco mental y alegría, apoyando el equilibrio emocional.","Oferece refresco mental e alegria, apoiando o equilíbrio emocional.","Offre ristoro mentale e gioia, supportando l'equilibrio emotivo."
Frolicsome,Juguetón,Brincalhão,"Giocoso, Scherzoso",Play,Juego,Jogo,Gioco,Invites lighthearted exploration and stress relief.,Invita a una exploración alegre y al alivio del estrés.,Convida a uma exploração leve e alívio do estresse.,Invita a un'esplorazione spensierata e al sollievo dallo stress.
Fun-loving,Amante de la diversión,Amante da diversão,Amante del divertimento,Play,Juego,Jogo,Gioco,Promotes connection and positivity through shared enjoyment.,Promueve la conexión y la positividad a través del disfrute compartido.,Promove a conexão e a positividade através do prazer compartilhado.,Promuove la connessione e la positività attraverso il piacere condiviso.
Gleeful,"Exultante, Alegre","Alegre, Contente","Giubilante, Gioioso",Play,Juego,Jogo,Gioco,"Sparks exuberance, reinforcing positive social and emotional energy.","Despierta la exuberancia, reforzando la energía social y emocional positiva.","Acende a exuberância, reforçando a energia social e emocional positiva.","Accende l'esuberanza, rafforzando l'energia sociale ed emotiva positiva."
Jocular,Bromista,Brincalhão,Scherzoso,Play,Juego,Jogo,Gioco,"Uses humor to connect, ease tension, and foster resilience.","Utiliza el humor para conectar, aliviar la tensión y fomentar la resiliencia.","Usa o humor para conectar, aliviar a tensão e fomentar a resiliência.","Usa l'umorismo per connettersi, alleviare la tensione e favorire la resilienza."
Jovial,Jovial,Jovial,Gioviale,Play,Juego,Jogo,Gioco,Strengthens group morale and social cohesion through playful warmth.,Fortalece la moral del grupo y la cohesión social a través de la calidez lúdica.,Fortalece o moral do grupo e a coesão social através de calor lúdico.,Rafforza il morale del gruppo e la coesione sociale attraverso un calore giocoso.
Joyful,Alegre,Alegre,Gioioso,Play,Juego,Jogo,Gioco,Energizes engagement and reinforces a sense of thriving.,Energiza el compromiso y refuerza un sentido de prosperidad.,Energiza o engajamento e reforça um senso de prosperidade.,Energizza il coinvolgimento e rafforza un senso di prosperità.
Lively,"Vivaz, Animado",Animado,Vivace,Play,Juego,Jogo,Gioco,Boosts motivation and spontaneity through energetic engagement.,Aumenta la motivación y la espontaneidad a través del compromiso energético.,Aumenta a motivação e a espontaneidade através de engajamento energético.,Aumenta la motivazione e la spontaneità attraverso un coinvolgimento energetico.
Merry,Alegre,Alegre,Allegro,Play,Juego,Jogo,Gioco,"Promotes shared warmth and celebration, strengthening relationships.","Promueve la calidez y la celebración compartidas, fortaleciendo las relaciones.","Promove o calor e a celebração compartilhados, fortalecendo relacionamentos.","Promuove un calore e una celebrazione condivisi, rafforzando le relazioni."
Playful,Juguetón,Brincalhão,Giocoso,Play,Juego,Jogo,Gioco,"Encourages creativity, connection, and flexible problem-solving.","Fomenta la creatividad, la conexión y la resolución de problemas flexible.","Incentiva a criatividade, a conexão e a resolução de problemas flexível.","Incoraggia la creatività, la connessione e la risoluzione flessibile dei problemi."
Agitation,Agitación,Agitação,Agitazione,Possible Obstacle,Posible Obstáculo,Possível Obstáculo,Possibile Ostacolo,"Reflects pent-up energy or unrest, urging release or change.","Refleja energía reprimida o malestar, instando a la liberación o al cambio.","Reflete energia reprimida ou inquietação, solicitando liberação ou mudança.","Riflette energia repressa o irrequietezza, spingendo al rilascio o al cambiamento."
